time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
6,-1,3,0,0,0.0,0,0,,
7,1,1,0,0,0.4,0,1,1.0,6.0
10,-1,3,0,0,0.0,0,0,,
11,0,1,5,5,0.9,1,0,0.0,10.0
12,0,2,5,10,0.7904862658184875,2,0,0.0,10.0
13,0,3,0,10,0.6942983738307293,2,1,1.0,10.0
16,-1,3,0,0,0.0,0,0,,
17,1,1,5,5,0.4,1,0,0.0,16.0
18,1,2,0,5,0.3513272292526611,1,1,1.0,16.0
21,-1,3,0,0,0.0,0,0,,
22,1,1,0,0,0.4,0,1,1.0,21.0
25,-1,3,0,0,0.0,0,0,,
26,0,1,5,5,0.9,1,0,0.0,25.0
27,0,2,5,10,0.7904862658184875,2,0,0.0,25.0
28,0,3,5,15,0.6942983738307293,3,0,0.0,25.0
29,0,4,0,15,0.609814809881446,3,1,1.0,25.0
32,-1,3,0,0,0.0,0,0,,
33,1,1,5,5,0.4,1,0,0.0,32.0
34,1,2,5,10,0.3513272292526611,2,0,0.0,32.0
35,1,3,5,15,0.30857705503587973,3,0,0.0,32.0
36,1,4,5,20,0.2710288043917538,4,0,0.0,32.0
37,1,5,0,20,0.23804949723654079,4,1,1.0,32.0
40,-1,3,0,0,0.0,0,0,,
41,1,1,5,5,0.4,1,0,0.0,40.0
42,1,2,0,5,0.3513272292526611,1,1,1.0,40.0
45,-1,3,0,0,0.0,0,0,,
46,0,1,0,0,0.9,0,1,1.0,45.0
49,-1,3,0,0,0.0,0,0,,
50,1,1,0,0,0.4,0,1,1.0,49.0
53,-1,3,0,0,0.0,0,0,,
54,0,1,5,5,0.9,1,0,0.0,53.0
55,0,2,0,5,0.7904862658184875,1,1,1.0,53.0
58,-1,3,0,0,0.0,0,0,,
59,1,1,5,5,0.4,1,0,0.0,58.0
60,1,2,0,5,0.3513272292526611,1,1,1.0,58.0
63,-1,3,0,0,0.0,0,0,,
64,1,1,0,0,0.4,0,1,1.0,63.0
67,-1,3,0,0,0.0,0,0,,
68,1,1,0,0,0.4,0,1,1.0,67.0
71,-1,3,0,0,0.0,0,0,,
72,0,1,5,5,0.9,1,0,0.0,71.0
73,0,2,5,10,0.7904862658184875,2,0,0.0,71.0
74,0,3,5,15,0.6942983738307293,3,0,0.0,71.0
75,0,4,5,20,0.609814809881446,4,0,0.0,71.0
76,0,5,5,25,0.5356113687822168,5,0,0.0,71.0
77,0,6,5,30,0.4704371453762037,6,0,0.0,71.0
78,0,7,5,35,0.4131934470563824,7,0,0.0,71.0
79,0,8,5,40,0.36291527224918735,8,0,0.0,71.0
80,0,9,0,40,0.3187550426319553,8,1,1.0,71.0
83,-1,3,0,0,0.0,0,0,,
84,0,1,5,5,0.9,1,0,0.0,83.0
85,0,2,0,5,0.7904862658184875,1,1,1.0,83.0
88,-1,3,0,0,0.0,0,0,,
89,1,1,5,5,0.4,1,0,0.0,88.0
90,1,2,5,10,0.3513272292526611,2,0,0.0,88.0
91,1,3,5,15,0.30857705503587973,3,0,0.0,88.0
92,1,4,0,15,0.2710288043917538,3,1,1.0,88.0
95,-1,3,0,0,0.0,0,0,,
96,1,1,0,0,0.4,0,1,1.0,95.0
99,-1,3,0,0,0.0,0,0,,
100,1,1,0,0,0.4,0,1,1.0,99.0
103,-1,3,0,0,0.0,0,0,,
104,0,1,5,5,0.9,1,0,0.0,103.0
105,0,2,5,10,0.7904862658184875,2,0,0.0,103.0
106,0,3,5,15,0.6942983738307293,3,0,0.0,103.0
107,0,4,5,20,0.609814809881446,4,0,0.0,103.0
108,0,5,0,20,0.5356113687822168,4,1,1.0,103.0
111,-1,3,0,0,0.0,0,0,,
