time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,5,15,0.6942983738307293,3,0,0.0,0.0
4,0,4,0,15,0.609814809881446,3,1,1.0,0.0
7,-1,3,0,0,0.0,0,0,,
8,1,1,0,0,0.4,0,1,1.0,7.0
11,-1,3,0,0,0.0,0,0,,
12,0,1,5,5,0.9,1,0,0.0,11.0
13,0,2,5,10,0.7904862658184875,2,0,0.0,11.0
14,0,3,5,15,0.6942983738307293,3,0,0.0,11.0
15,0,4,0,15,0.609814809881446,3,1,1.0,11.0
18,-1,3,0,0,0.0,0,0,,
19,1,1,5,5,0.4,1,0,0.0,18.0
20,1,2,0,5,0.3513272292526611,1,1,1.0,18.0
23,-1,3,0,0,0.0,0,0,,
24,1,1,5,5,0.4,1,0,0.0,23.0
25,1,2,5,10,0.3513272292526611,2,0,0.0,23.0
26,1,3,5,15,0.30857705503587973,3,0,0.0,23.0
27,1,4,5,20,0.2710288043917538,4,0,0.0,23.0
28,1,5,5,25,0.23804949723654079,5,0,0.0,23.0
29,1,6,5,30,0.2090831757227572,6,0,0.0,23.0
30,1,7,5,35,0.18364153202505884,7,0,0.0,23.0
31,1,8,5,40,0.1612956765551944,8,0,0.0,23.0
32,1,9,5,45,0.14166890783642458,9,0,0.0,23.0
33,1,10,0,45,0.12443036215355414,9,1,1.0,23.0
36,-1,3,0,0,0.0,0,0,,
37,0,1,0,0,0.9,0,1,1.0,36.0
40,-1,3,0,0,0.0,0,0,,
41,1,1,5,5,0.4,1,0,0.0,40.0
42,1,2,0,5,0.3513272292526611,1,1,1.0,40.0
45,-1,3,0,0,0.0,0,0,,
46,1,1,5,5,0.4,1,0,0.0,45.0
47,1,2,5,10,0.3513272292526611,2,0,0.0,45.0
48,1,3,5,15,0.30857705503587973,3,0,0.0,45.0
49,1,4,5,20,0.2710288043917538,4,0,0.0,45.0
50,1,5,0,20,0.23804949723654079,4,1,1.0,45.0
53,-1,3,0,0,0.0,0,0,,
54,0,1,5,5,0.9,1,0,0.0,53.0
55,0,2,5,10,0.7904862658184875,2,0,0.0,53.0
56,0,3,5,15,0.6942983738307293,3,0,0.0,53.0
57,0,4,0,15,0.609814809881446,3,1,1.0,53.0
60,-1,3,0,0,0.0,0,0,,
61,1,1,0,0,0.4,0,1,1.0,60.0
64,-1,3,0,0,0.0,0,0,,
65,0,1,5,5,0.9,1,0,0.0,64.0
66,0,2,5,10,0.7904862658184875,2,0,0.0,64.0
67,0,3,5,15,0.6942983738307293,3,0,0.0,64.0
68,0,4,5,20,0.609814809881446,4,0,0.0,64.0
69,0,5,5,25,0.5356113687822168,5,0,0.0,64.0
70,0,6,5,30,0.4704371453762037,6,0,0.0,64.0
71,0,7,0,30,0.4131934470563824,6,1,1.0,64.0
74,-1,3,0,0,0.0,0,0,,
75,1,1,0,0,0.4,0,1,1.0,74.0
78,-1,3,0,0,0.0,0,0,,
79,1,1,0,0,0.4,0,1,1.0,78.0
82,-1,3,0,0,0.0,0,0,,
83,1,1,0,0,0.4,0,1,1.0,82.0
86,-1,3,0,0,0.0,0,0,,
87,0,1,5,5,0.9,1,0,0.0,86.0
88,0,2,5,10,0.7904862658184875,2,0,0.0,86.0
89,0,3,5,15,0.6942983738307293,3,0,0.0,86.0
90,0,4,5,20,0.609814809881446,4,0,0.0,86.0
91,0,5,5,25,0.5356113687822168,5,0,0.0,86.0
92,0,6,0,25,0.4704371453762037,5,1,1.0,86.0
95,-1,3,0,0,0.0,0,0,,
96,0,1,5,5,0.9,1,0,0.0,95.0
97,0,2,5,10,0.7904862658184875,2,0,0.0,95.0
98,0,3,5,15,0.6942983738307293,3,0,0.0,95.0
99,0,4,0,15,0.609814809881446,3,1,1.0,95.0
102,-1,3,0,0,0.0,0,0,,
103,1,1,0,0,0.4,0,1,1.0,102.0
106,-1,3,0,0,0.0,0,0,,
107,1,1,5,5,0.4,1,0,0.0,106.0
108,1,2,0,5,0.3513272292526611,1,1,1.0,106.0
111,-1,3,0,0,0.0,0,0,,
112,1,1,0,0,0.4,0,1,1.0,111.0
115,-1,3,0,0,0.0,0,0,,
116,0,1,5,5,0.9,1,0,0.0,115.0
117,0,2,0,5,0.7904862658184875,1,1,1.0,115.0
120,-1,3,0,0,0.0,0,0,,
