time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
6,-1,3,0,0,0.0,0,0,,
7,1,1,0,0,0.4,0,1,1.0,6.0
10,-1,3,0,0,0.0,0,0,,
11,0,1,5,5,0.9,1,0,0.0,10.0
12,0,2,5,10,0.7904862658184875,2,0,0.0,10.0
13,0,3,0,10,0.6942983738307293,2,1,1.0,10.0
16,-1,3,0,0,0.0,0,0,,
17,1,1,0,0,0.4,0,1,1.0,16.0
20,-1,3,0,0,0.0,0,0,,
21,1,1,5,5,0.4,1,0,0.0,20.0
22,1,2,5,10,0.3513272292526611,2,0,0.0,20.0
23,1,3,0,10,0.30857705503587973,2,1,1.0,20.0
26,-1,3,0,0,0.0,0,0,,
27,0,1,5,5,0.9,1,0,0.0,26.0
28,0,2,5,10,0.7904862658184875,2,0,0.0,26.0
29,0,3,5,15,0.6942983738307293,3,0,0.0,26.0
30,0,4,0,15,0.609814809881446,3,1,1.0,26.0
33,-1,3,0,0,0.0,0,0,,
34,1,1,0,0,0.4,0,1,1.0,33.0
37,-1,3,0,0,0.0,0,0,,
38,1,1,5,5,0.4,1,0,0.0,37.0
39,1,2,0,5,0.3513272292526611,1,1,1.0,37.0
42,-1,3,0,0,0.0,0,0,,
43,0,1,5,5,0.9,1,0,0.0,42.0
44,0,2,5,10,0.7904862658184875,2,0,0.0,42.0
45,0,3,0,10,0.6942983738307293,2,1,1.0,42.0
48,-1,3,0,0,0.0,0,0,,
49,1,1,0,0,0.4,0,1,1.0,48.0
52,-1,3,0,0,0.0,0,0,,
53,0,1,5,5,0.9,1,0,0.0,52.0
54,0,2,5,10,0.7904862658184875,2,0,0.0,52.0
55,0,3,0,10,0.6942983738307293,2,1,1.0,52.0
58,-1,3,0,0,0.0,0,0,,
59,1,1,0,0,0.4,0,1,1.0,58.0
62,-1,3,0,0,0.0,0,0,,
63,1,1,0,0,0.4,0,1,1.0,62.0
66,-1,3,0,0,0.0,0,0,,
67,1,1,5,5,0.4,1,0,0.0,66.0
68,1,2,0,5,0.3513272292526611,1,1,1.0,66.0
71,-1,3,0,0,0.0,0,0,,
72,0,1,5,5,0.9,1,0,0.0,71.0
73,0,2,5,10,0.7904862658184875,2,0,0.0,71.0
74,0,3,0,10,0.6942983738307293,2,1,1.0,71.0
77,-1,3,0,0,0.0,0,0,,
78,0,1,5,5,0.9,1,0,0.0,77.0
79,0,2,5,10,0.7904862658184875,2,0,0.0,77.0
80,0,3,5,15,0.6942983738307293,3,0,0.0,77.0
81,0,4,0,15,0.609814809881446,3,1,1.0,77.0
84,-1,3,0,0,0.0,0,0,,
85,1,1,0,0,0.4,0,1,1.0,84.0
88,-1,3,0,0,0.0,0,0,,
89,1,1,5,5,0.4,1,0,0.0,88.0
90,1,2,0,5,0.3513272292526611,1,1,1.0,88.0
93,-1,3,0,0,0.0,0,0,,
94,1,1,5,5,0.4,1,0,0.0,93.0
95,1,2,0,5,0.3513272292526611,1,1,1.0,93.0
98,-1,3,0,0,0.0,0,0,,
99,0,1,5,5,0.9,1,0,0.0,98.0
100,0,2,5,10,0.7904862658184875,2,0,0.0,98.0
101,0,3,5,15,0.6942983738307293,3,0,0.0,98.0
102,0,4,5,20,0.609814809881446,4,0,0.0,98.0
103,0,5,5,25,0.5356113687822168,5,0,0.0,98.0
104,0,6,5,30,0.4704371453762037,6,0,0.0,98.0
105,0,7,0,30,0.4131934470563824,6,1,1.0,98.0
108,-1,3,0,0,0.0,0,0,,
