time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,5,15,0.6942983738307293,3,0,0.0,0.0
4,0,4,0,15,0.609814809881446,3,1,1.0,0.0
7,-1,3,0,0,0.0,0,0,,
8,1,1,0,0,0.4,0,1,1.0,7.0
11,-1,3,0,0,0.0,0,0,,
12,0,1,5,5,0.9,1,0,0.0,11.0
13,0,2,5,10,0.7904862658184875,2,0,0.0,11.0
14,0,3,5,15,0.6942983738307293,3,0,0.0,11.0
15,0,4,0,15,0.609814809881446,3,1,1.0,11.0
18,-1,3,0,0,0.0,0,0,,
19,1,1,0,0,0.4,0,1,1.0,18.0
22,-1,3,0,0,0.0,0,0,,
23,1,1,0,0,0.4,0,1,1.0,22.0
26,-1,3,0,0,0.0,0,0,,
27,0,1,5,5,0.9,1,0,0.0,26.0
28,0,2,5,10,0.7904862658184875,2,0,0.0,26.0
29,0,3,0,10,0.6942983738307293,2,1,1.0,26.0
32,-1,3,0,0,0.0,0,0,,
33,1,1,0,0,0.4,0,1,1.0,32.0
36,-1,3,0,0,0.0,0,0,,
37,1,1,5,5,0.4,1,0,0.0,36.0
38,1,2,0,5,0.3513272292526611,1,1,1.0,36.0
41,-1,3,0,0,0.0,0,0,,
42,0,1,0,0,0.9,0,1,1.0,41.0
45,-1,3,0,0,0.0,0,0,,
46,1,1,0,0,0.4,0,1,1.0,45.0
49,-1,3,0,0,0.0,0,0,,
50,0,1,5,5,0.9,1,0,0.0,49.0
51,0,2,0,5,0.7904862658184875,1,1,1.0,49.0
54,-1,3,0,0,0.0,0,0,,
55,1,1,5,5,0.4,1,0,0.0,54.0
56,1,2,5,10,0.3513272292526611,2,0,0.0,54.0
57,1,3,0,10,0.30857705503587973,2,1,1.0,54.0
60,-1,3,0,0,0.0,0,0,,
61,1,1,5,5,0.4,1,0,0.0,60.0
62,1,2,0,5,0.3513272292526611,1,1,1.0,60.0
65,-1,3,0,0,0.0,0,0,,
66,1,1,0,0,0.4,0,1,1.0,65.0
69,-1,3,0,0,0.0,0,0,,
70,0,1,5,5,0.9,1,0,0.0,69.0
71,0,2,5,10,0.7904862658184875,2,0,0.0,69.0
72,0,3,5,15,0.6942983738307293,3,0,0.0,69.0
73,0,4,5,20,0.609814809881446,4,0,0.0,69.0
74,0,5,5,25,0.5356113687822168,5,0,0.0,69.0
75,0,6,0,25,0.4704371453762037,5,1,1.0,69.0
78,-1,3,0,0,0.0,0,0,,
79,0,1,5,5,0.9,1,0,0.0,78.0
80,0,2,0,5,0.7904862658184875,1,1,1.0,78.0
83,-1,3,0,0,0.0,0,0,,
84,1,1,0,0,0.4,0,1,1.0,83.0
87,-1,3,0,0,0.0,0,0,,
88,1,1,5,5,0.4,1,0,0.0,87.0
89,1,2,0,5,0.3513272292526611,1,1,1.0,87.0
92,-1,3,0,0,0.0,0,0,,
93,1,1,0,0,0.4,0,1,1.0,92.0
96,-1,3,0,0,0.0,0,0,,
97,0,1,5,5,0.9,1,0,0.0,96.0
98,0,2,5,10,0.7904862658184875,2,0,0.0,96.0
99,0,3,5,15,0.6942983738307293,3,0,0.0,96.0
100,0,4,5,20,0.609814809881446,4,0,0.0,96.0
101,0,5,5,25,0.5356113687822168,5,0,0.0,96.0
102,0,6,5,30,0.4704371453762037,6,0,0.0,96.0
103,0,7,0,30,0.4131934470563824,6,1,1.0,96.0
106,-1,3,0,0,0.0,0,0,,
