time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,5,15,0.6942983738307293,3,0,0.0,0.0
4,0,4,5,20,0.609814809881446,4,0,0.0,0.0
5,0,5,0,20,0.5356113687822168,4,1,1.0,0.0
6,0,6,5,25,0.4704371453762037,5,1,0.0,0.0
7,0,7,5,30,0.4131934470563824,6,1,0.0,0.0
8,0,8,5,35,0.36291527224918735,7,1,0.0,0.0
9,0,9,5,40,0.3187550426319553,8,1,0.0,0.0
10,0,10,0,40,0.27996831484549684,8,2,1.0,0.0
11,0,11,0,40,0.2459012308330126,8,3,2.0,0.0
14,-1,3,0,0,0.0,0,0,,
15,1,1,5,5,0.4,1,0,0.0,14.0
16,1,2,5,10,0.3513272292526611,2,0,0.0,14.0
17,1,3,5,15,0.30857705503587973,3,0,0.0,14.0
18,1,4,0,15,0.2710288043917538,3,1,1.0,14.0
19,1,5,0,15,0.23804949723654079,3,2,2.0,14.0
22,-1,3,0,0,0.0,0,0,,
23,0,1,5,5,0.9,1,0,0.0,22.0
24,0,2,5,10,0.7904862658184875,2,0,0.0,22.0
25,0,3,0,10,0.6942983738307293,2,1,1.0,22.0
26,0,4,5,15,0.609814809881446,3,1,0.0,22.0
27,0,5,0,15,0.5356113687822168,3,2,1.0,22.0
28,0,6,0,15,0.4704371453762037,3,3,2.0,22.0
31,-1,3,0,0,0.0,0,0,,
32,1,1,0,0,0.4,0,1,1.0,31.0
33,1,2,0,0,0.3513272292526611,0,2,2.0,31.0
36,-1,3,0,0,0.0,0,0,,
37,1,1,5,5,0.4,1,0,0.0,36.0
38,1,2,0,5,0.3513272292526611,1,1,1.0,36.0
39,1,3,0,5,0.30857705503587973,1,2,2.0,36.0
42,-1,3,0,0,0.0,0,0,,
43,0,1,5,5,0.9,1,0,0.0,42.0
44,0,2,5,10,0.7904862658184875,2,0,0.0,42.0
45,0,3,5,15,0.6942983738307293,3,0,0.0,42.0
46,0,4,5,20,0.609814809881446,4,0,0.0,42.0
47,0,5,5,25,0.5356113687822168,5,0,0.0,42.0
48,0,6,5,30,0.4704371453762037,6,0,0.0,42.0
49,0,7,0,30,0.4131934470563824,6,1,1.0,42.0
50,0,8,5,35,0.36291527224918735,7,1,0.0,42.0
51,0,9,0,35,0.3187550426319553,7,2,1.0,42.0
52,0,10,0,35,0.27996831484549684,7,3,2.0,42.0
55,-1,3,0,0,0.0,0,0,,
56,1,1,0,0,0.4,0,1,1.0,55.0
57,1,2,5,5,0.3513272292526611,1,1,0.0,55.0
