time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,5,15,0.6942983738307293,3,0,0.0,0.0
4,0,4,0,15,0.609814809881446,3,1,1.0,0.0
7,-1,3,0,0,0.0,0,0,,
8,1,1,5,5,0.4,1,0,0.0,7.0
9,1,2,0,5,0.3513272292526611,1,1,1.0,7.0
12,-1,3,0,0,0.0,0,0,,
13,0,1,5,5,0.9,1,0,0.0,12.0
14,0,2,5,10,0.7904862658184875,2,0,0.0,12.0
15,0,3,5,15,0.6942983738307293,3,0,0.0,12.0
16,0,4,0,15,0.609814809881446,3,1,1.0,12.0
19,-1,3,0,0,0.0,0,0,,
20,1,1,5,5,0.4,1,0,0.0,19.0
21,1,2,0,5,0.3513272292526611,1,1,1.0,19.0
24,-1,3,0,0,0.0,0,0,,
25,1,1,0,0,0.4,0,1,1.0,24.0
28,-1,3,0,0,0.0,0,0,,
29,0,1,5,5,0.9,1,0,0.0,28.0
30,0,2,5,10,0.7904862658184875,2,0,0.0,28.0
31,0,3,5,15,0.6942983738307293,3,0,0.0,28.0
32,0,4,0,15,0.609814809881446,3,1,1.0,28.0
35,-1,3,0,0,0.0,0,0,,
36,1,1,0,0,0.4,0,1,1.0,35.0
39,-1,3,0,0,0.0,0,0,,
40,1,1,5,5,0.4,1,0,0.0,39.0
41,1,2,0,5,0.3513272292526611,1,1,1.0,39.0
44,-1,3,0,0,0.0,0,0,,
45,0,1,5,5,0.9,1,0,0.0,44.0
46,0,2,0,5,0.7904862658184875,1,1,1.0,44.0
49,-1,3,0,0,0.0,0,0,,
50,1,1,0,0,0.4,0,1,1.0,49.0
53,-1,3,0,0,0.0,0,0,,
54,0,1,5,5,0.9,1,0,0.0,53.0
55,0,2,5,10,0.7904862658184875,2,0,0.0,53.0
56,0,3,5,15,0.6942983738307293,3,0,0.0,53.0
57,0,4,5,20,0.609814809881446,4,0,0.0,53.0
58,0,5,0,20,0.5356113687822168,4,1,1.0,53.0
61,-1,3,0,0,0.0,0,0,,
62,1,1,0,0,0.4,0,1,1.0,61.0
65,-1,3,0,0,0.0,0,0,,
66,1,1,0,0,0.4,0,1,1.0,65.0
69,-1,3,0,0,0.0,0,0,,
70,1,1,0,0,0.4,0,1,1.0,69.0
73,-1,3,0,0,0.0,0,0,,
74,0,1,5,5,0.9,1,0,0.0,73.0
75,0,2,5,10,0.7904862658184875,2,0,0.0,73.0
76,0,3,5,15,0.6942983738307293,3,0,0.0,73.0
77,0,4,0,15,0.609814809881446,3,1,1.0,73.0
80,-1,3,0,0,0.0,0,0,,
81,0,1,5,5,0.9,1,0,0.0,80.0
82,0,2,5,10,0.7904862658184875,2,0,0.0,80.0
83,0,3,5,15,0.6942983738307293,3,0,0.0,80.0
84,0,4,5,20,0.609814809881446,4,0,0.0,80.0
85,0,5,5,25,0.5356113687822168,5,0,0.0,80.0
86,0,6,5,30,0.4704371453762037,6,0,0.0,80.0
87,0,7,0,30,0.4131934470563824,6,1,1.0,80.0
90,-1,3,0,0,0.0,0,0,,
91,1,1,5,5,0.4,1,0,0.0,90.0
92,1,2,0,5,0.3513272292526611,1,1,1.0,90.0
95,-1,3,0,0,0.0,0,0,,
96,1,1,5,5,0.4,1,0,0.0,95.0
97,1,2,0,5,0.3513272292526611,1,1,1.0,95.0
100,-1,3,0,0,0.0,0,0,,
101,1,1,5,5,0.4,1,0,0.0,100.0
102,1,2,5,10,0.3513272292526611,2,0,0.0,100.0
103,1,3,5,15,0.30857705503587973,3,0,0.0,100.0
104,1,4,0,15,0.2710288043917538,3,1,1.0,100.0
107,-1,3,0,0,0.0,0,0,,
108,0,1,5,5,0.9,1,0,0.0,107.0
109,0,2,5,10,0.7904862658184875,2,0,0.0,107.0
110,0,3,5,15,0.6942983738307293,3,0,0.0,107.0
111,0,4,0,15,0.609814809881446,3,1,1.0,107.0
114,-1,3,0,0,0.0,0,0,,
