time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,0,5,0.7904862658184875,1,1,1.0,0.0
5,-1,3,0,0,0.0,0,0,,
6,1,1,0,0,0.4,0,1,1.0,5.0
9,-1,3,0,0,0.0,0,0,,
10,0,1,5,5,0.9,1,0,0.0,9.0
11,0,2,0,5,0.7904862658184875,1,1,1.0,9.0
14,-1,3,0,0,0.0,0,0,,
15,1,1,0,0,0.4,0,1,1.0,14.0
18,-1,3,0,0,0.0,0,0,,
19,1,1,0,0,0.4,0,1,1.0,18.0
22,-1,3,0,0,0.0,0,0,,
23,0,1,0,0,0.9,0,1,1.0,22.0
26,-1,3,0,0,0.0,0,0,,
27,1,1,0,0,0.4,0,1,1.0,26.0
30,-1,3,0,0,0.0,0,0,,
31,1,1,0,0,0.4,0,1,1.0,30.0
34,-1,3,0,0,0.0,0,0,,
35,0,1,5,5,0.9,1,0,0.0,34.0
36,0,2,5,10,0.7904862658184875,2,0,0.0,34.0
37,0,3,5,15,0.6942983738307293,3,0,0.0,34.0
38,0,4,5,20,0.609814809881446,4,0,0.0,34.0
39,0,5,5,25,0.5356113687822168,5,0,0.0,34.0
40,0,6,0,25,0.4704371453762037,5,1,1.0,34.0
43,-1,3,0,0,0.0,0,0,,
44,1,1,0,0,0.4,0,1,1.0,43.0
47,-1,3,0,0,0.0,0,0,,
48,0,1,5,5,0.9,1,0,0.0,47.0
49,0,2,5,10,0.7904862658184875,2,0,0.0,47.0
50,0,3,0,10,0.6942983738307293,2,1,1.0,47.0
53,-1,3,0,0,0.0,0,0,,
54,1,1,0,0,0.4,0,1,1.0,53.0
57,-1,3,0,0,0.0,0,0,,
58,1,1,5,5,0.4,1,0,0.0,57.0
59,1,2,0,5,0.3513272292526611,1,1,1.0,57.0
62,-1,3,0,0,0.0,0,0,,
63,1,1,5,5,0.4,1,0,0.0,62.0
64,1,2,0,5,0.3513272292526611,1,1,1.0,62.0
67,-1,3,0,0,0.0,0,0,,
68,0,1,5,5,0.9,1,0,0.0,67.0
69,0,2,0,5,0.7904862658184875,1,1,1.0,67.0
72,-1,3,0,0,0.0,0,0,,
73,0,1,0,0,0.9,0,1,1.0,72.0
76,-1,3,0,0,0.0,0,0,,
77,1,1,0,0,0.4,0,1,1.0,76.0
80,-1,3,0,0,0.0,0,0,,
81,1,1,0,0,0.4,0,1,1.0,80.0
84,-1,3,0,0,0.0,0,0,,
85,1,1,0,0,0.4,0,1,1.0,84.0
88,-1,3,0,0,0.0,0,0,,
89,0,1,0,0,0.9,0,1,1.0,88.0
92,-1,3,0,0,0.0,0,0,,
