time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,0,0,0.9,0,1,1.0,0.0
2,0,2,5,5,0.7904862658184875,1,1,0.0,0.0
3,0,3,5,10,0.6942983738307293,2,1,0.0,0.0
4,0,4,5,15,0.609814809881446,3,1,0.0,0.0
5,0,5,5,20,0.5356113687822168,4,1,0.0,0.0
6,0,6,5,25,0.4704371453762037,5,1,0.0,0.0
7,0,7,5,30,0.4131934470563824,6,1,0.0,0.0
8,0,8,0,30,0.36291527224918735,6,2,1.0,0.0
9,0,9,0,30,0.3187550426319553,6,3,2.0,0.0
12,-1,3,0,0,0.0,0,0,,
13,1,1,5,5,0.4,1,0,0.0,12.0
14,1,2,0,5,0.3513272292526611,1,1,1.0,12.0
15,1,3,0,5,0.30857705503587973,1,2,2.0,12.0
18,-1,3,0,0,0.0,0,0,,
19,0,1,5,5,0.9,1,0,0.0,18.0
20,0,2,0,5,0.7904862658184875,1,1,1.0,18.0
21,0,3,5,10,0.6942983738307293,2,1,0.0,18.0
22,0,4,5,15,0.609814809881446,3,1,0.0,18.0
23,0,5,5,20,0.5356113687822168,4,1,0.0,18.0
24,0,6,5,25,0.4704371453762037,5,1,0.0,18.0
25,0,7,0,25,0.4131934470563824,5,2,1.0,18.0
26,0,8,0,25,0.36291527224918735,5,3,2.0,18.0
29,-1,3,0,0,0.0,0,0,,
30,1,1,5,5,0.4,1,0,0.0,29.0
31,1,2,0,5,0.3513272292526611,1,1,1.0,29.0
32,1,3,0,5,0.30857705503587973,1,2,2.0,29.0
35,-1,3,0,0,0.0,0,0,,
36,1,1,5,5,0.4,1,0,0.0,35.0
37,1,2,0,5,0.3513272292526611,1,1,1.0,35.0
38,1,3,0,5,0.30857705503587973,1,2,2.0,35.0
41,-1,3,0,0,0.0,0,0,,
42,0,1,5,5,0.9,1,0,0.0,41.0
43,0,2,5,10,0.7904862658184875,2,0,0.0,41.0
44,0,3,5,15,0.6942983738307293,3,0,0.0,41.0
45,0,4,0,15,0.609814809881446,3,1,1.0,41.0
46,0,5,5,20,0.5356113687822168,4,1,0.0,41.0
47,0,6,5,25,0.4704371453762037,5,1,0.0,41.0
48,0,7,0,25,0.4131934470563824,5,2,1.0,41.0
49,0,8,0,25,0.36291527224918735,5,3,2.0,41.0
52,-1,3,0,0,0.0,0,0,,
53,1,1,5,5,0.4,1,0,0.0,52.0
54,1,2,0,5,0.3513272292526611,1,1,1.0,52.0
55,1,3,0,5,0.30857705503587973,1,2,2.0,52.0
58,-1,3,0,0,0.0,0,0,,
59,1,1,0,0,0.4,0,1,1.0,58.0
60,1,2,0,0,0.3513272292526611,0,2,2.0,58.0
63,-1,3,0,0,0.0,0,0,,
64,0,1,5,5,0.9,1,0,0.0,63.0
65,0,2,5,10,0.7904862658184875,2,0,0.0,63.0
66,0,3,5,15,0.6942983738307293,3,0,0.0,63.0
67,0,4,5,20,0.609814809881446,4,0,0.0,63.0
68,0,5,5,25,0.5356113687822168,5,0,0.0,63.0
69,0,6,5,30,0.4704371453762037,6,0,0.0,63.0
70,0,7,0,30,0.4131934470563824,6,1,1.0,63.0
71,0,8,5,35,0.36291527224918735,7,1,0.0,63.0
72,0,9,5,40,0.3187550426319553,8,1,0.0,63.0
73,0,10,0,40,0.27996831484549684,8,2,1.0,63.0
74,0,11,0,40,0.2459012308330126,8,3,2.0,63.0
77,-1,3,0,0,0.0,0,0,,
78,1,1,5,5,0.4,1,0,0.0,77.0
79,1,2,5,10,0.3513272292526611,2,0,0.0,77.0
80,1,3,0,10,0.30857705503587973,2,1,1.0,77.0
81,1,4,0,10,0.2710288043917538,2,2,2.0,77.0
84,-1,3,0,0,0.0,0,0,,
85,0,1,5,5,0.9,1,0,0.0,84.0
86,0,2,5,10,0.7904862658184875,2,0,0.0,84.0
87,0,3,5,15,0.6942983738307293,3,0,0.0,84.0
88,0,4,0,15,0.609814809881446,3,1,1.0,84.0
89,0,5,5,20,0.5356113687822168,4,1,0.0,84.0
90,0,6,5,25,0.4704371453762037,5,1,0.0,84.0
91,0,7,0,25,0.4131934470563824,5,2,1.0,84.0
92,0,8,0,25,0.36291527224918735,5,3,2.0,84.0
95,-1,3,0,0,0.0,0,0,,
