time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,5,15,0.6942983738307293,3,0,0.0,0.0
4,0,4,5,20,0.609814809881446,4,0,0.0,0.0
5,0,5,0,20,0.5356113687822168,4,1,1.0,0.0
8,-1,3,0,0,0.0,0,0,,
9,1,1,5,5,0.4,1,0,0.0,8.0
10,1,2,5,10,0.3513272292526611,2,0,0.0,8.0
11,1,3,0,10,0.30857705503587973,2,1,1.0,8.0
14,-1,3,0,0,0.0,0,0,,
15,0,1,5,5,0.9,1,0,0.0,14.0
16,0,2,5,10,0.7904862658184875,2,0,0.0,14.0
17,0,3,0,10,0.6942983738307293,2,1,1.0,14.0
20,-1,3,0,0,0.0,0,0,,
21,1,1,5,5,0.4,1,0,0.0,20.0
22,1,2,0,5,0.3513272292526611,1,1,1.0,20.0
25,-1,3,0,0,0.0,0,0,,
26,1,1,0,0,0.4,0,1,1.0,25.0
29,-1,3,0,0,0.0,0,0,,
30,0,1,5,5,0.9,1,0,0.0,29.0
31,0,2,0,5,0.7904862658184875,1,1,1.0,29.0
34,-1,3,0,0,0.0,0,0,,
35,1,1,5,5,0.4,1,0,0.0,34.0
36,1,2,0,5,0.3513272292526611,1,1,1.0,34.0
39,-1,3,0,0,0.0,0,0,,
40,1,1,0,0,0.4,0,1,1.0,39.0
43,-1,3,0,0,0.0,0,0,,
44,0,1,5,5,0.9,1,0,0.0,43.0
45,0,2,5,10,0.7904862658184875,2,0,0.0,43.0
46,0,3,0,10,0.6942983738307293,2,1,1.0,43.0
49,-1,3,0,0,0.0,0,0,,
50,1,1,5,5,0.4,1,0,0.0,49.0
51,1,2,0,5,0.3513272292526611,1,1,1.0,49.0
54,-1,3,0,0,0.0,0,0,,
55,0,1,5,5,0.9,1,0,0.0,54.0
56,0,2,5,10,0.7904862658184875,2,0,0.0,54.0
57,0,3,5,15,0.6942983738307293,3,0,0.0,54.0
58,0,4,0,15,0.609814809881446,3,1,1.0,54.0
61,-1,3,0,0,0.0,0,0,,
62,1,1,0,0,0.4,0,1,1.0,61.0
65,-1,3,0,0,0.0,0,0,,
66,1,1,5,5,0.4,1,0,0.0,65.0
67,1,2,0,5,0.3513272292526611,1,1,1.0,65.0
70,-1,3,0,0,0.0,0,0,,
71,1,1,0,0,0.4,0,1,1.0,70.0
74,-1,3,0,0,0.0,0,0,,
75,0,1,5,5,0.9,1,0,0.0,74.0
76,0,2,5,10,0.7904862658184875,2,0,0.0,74.0
77,0,3,5,15,0.6942983738307293,3,0,0.0,74.0
78,0,4,5,20,0.609814809881446,4,0,0.0,74.0
79,0,5,0,20,0.5356113687822168,4,1,1.0,74.0
82,-1,3,0,0,0.0,0,0,,
83,0,1,5,5,0.9,1,0,0.0,82.0
84,0,2,5,10,0.7904862658184875,2,0,0.0,82.0
85,0,3,5,15,0.6942983738307293,3,0,0.0,82.0
86,0,4,0,15,0.609814809881446,3,1,1.0,82.0
89,-1,3,0,0,0.0,0,0,,
90,1,1,0,0,0.4,0,1,1.0,89.0
93,-1,3,0,0,0.0,0,0,,
94,1,1,0,0,0.4,0,1,1.0,93.0
97,-1,3,0,0,0.0,0,0,,
98,1,1,5,5,0.4,1,0,0.0,97.0
99,1,2,5,10,0.3513272292526611,2,0,0.0,97.0
100,1,3,5,15,0.30857705503587973,3,0,0.0,97.0
101,1,4,0,15,0.2710288043917538,3,1,1.0,97.0
104,-1,3,0,0,0.0,0,0,,
105,0,1,0,0,0.9,0,1,1.0,104.0
108,-1,3,0,0,0.0,0,0,,
