time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
4,0,4,0,10,0.609814809881446,2,2,2.0,0.0
5,0,5,5,15,0.5356113687822168,3,2,0.0,0.0
6,0,6,0,15,0.4704371453762037,3,3,1.0,0.0
7,0,7,5,20,0.4131934470563824,4,3,0.0,0.0
8,0,8,5,25,0.36291527224918735,5,3,0.0,0.0
9,0,9,0,25,0.3187550426319553,5,4,1.0,0.0
10,0,10,0,25,0.27996831484549684,5,5,2.0,0.0
11,0,11,0,25,0.2459012308330126,5,6,3.0,0.0
12,0,12,0,25,0.21597949524595342,5,7,4.0,0.0
13,0,13,0,25,0.18969869410037274,5,8,5.0,0.0
14,0,14,0,25,0.16661579147783018,5,9,6.0,0.0
15,0,15,0,25,0.14634166092411305,5,10,7.0,0.0
18,-1,3,0,0,0.0,0,0,,
19,1,1,5,5,0.4,1,0,0.0,18.0
20,1,2,0,5,0.3513272292526611,1,1,1.0,18.0
21,1,3,0,5,0.30857705503587973,1,2,2.0,18.0
24,-1,3,0,0,0.0,0,0,,
25,0,1,5,5,0.9,1,0,0.0,24.0
26,0,2,5,10,0.7904862658184875,2,0,0.0,24.0
27,0,3,5,15,0.6942983738307293,3,0,0.0,24.0
28,0,4,5,20,0.609814809881446,4,0,0.0,24.0
29,0,5,5,25,0.5356113687822168,5,0,0.0,24.0
30,0,6,5,30,0.4704371453762037,6,0,0.0,24.0
31,0,7,0,30,0.4131934470563824,6,1,1.0,24.0
32,0,8,5,35,0.36291527224918735,7,1,0.0,24.0
33,0,9,5,40,0.3187550426319553,8,1,0.0,24.0
34,0,10,5,45,0.27996831484549684,9,1,0.0,24.0
35,0,11,0,45,0.2459012308330126,9,2,1.0,24.0
36,0,12,0,45,0.21597949524595342,9,3,2.0,24.0
37,0,13,0,45,0.18969869410037274,9,4,3.0,24.0
38,0,14,0,45,0.16661579147783018,9,5,4.0,24.0
39,0,15,0,45,0.14634166092411305,9,6,5.0,24.0
40,0,16,0,45,0.12853452564175263,9,7,6.0,24.0
41,0,17,5,50,0.11289419689255517,10,7,0.0,24.0
42,0,18,0,50,0.09915701348241447,10,8,1.0,24.0
43,0,19,0,50,0.08709139701936361,10,9,2.0,24.0
44,0,20,0,50,0.07649394801639119,10,10,3.0,24.0
45,0,21,0,50,0.06718601702798951,10,11,4.0,24.0
46,0,22,5,55,0.05901069301741416,11,11,0.0,24.0
47,0,23,0,55,0.05183015818521867,11,12,1.0,24.0
