time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
6,-1,3,0,0,0.0,0,0,,
7,1,1,0,0,0.4,0,1,1.0,6.0
10,-1,3,0,0,0.0,0,0,,
11,0,1,0,0,0.9,0,1,1.0,10.0
14,-1,3,0,0,0.0,0,0,,
15,1,1,0,0,0.4,0,1,1.0,14.0
18,-1,3,0,0,0.0,0,0,,
19,1,1,5,5,0.4,1,0,0.0,18.0
20,1,2,0,5,0.3513272292526611,1,1,1.0,18.0
23,-1,3,0,0,0.0,0,0,,
24,0,1,5,5,0.9,1,0,0.0,23.0
25,0,2,5,10,0.7904862658184875,2,0,0.0,23.0
26,0,3,5,15,0.6942983738307293,3,0,0.0,23.0
27,0,4,5,20,0.609814809881446,4,0,0.0,23.0
28,0,5,5,25,0.5356113687822168,5,0,0.0,23.0
29,0,6,5,30,0.4704371453762037,6,0,0.0,23.0
30,0,7,0,30,0.4131934470563824,6,1,1.0,23.0
33,-1,3,0,0,0.0,0,0,,
34,1,1,0,0,0.4,0,1,1.0,33.0
37,-1,3,0,0,0.0,0,0,,
38,1,1,0,0,0.4,0,1,1.0,37.0
41,-1,3,0,0,0.0,0,0,,
42,0,1,5,5,0.9,1,0,0.0,41.0
43,0,2,0,5,0.7904862658184875,1,1,1.0,41.0
46,-1,3,0,0,0.0,0,0,,
47,1,1,0,0,0.4,0,1,1.0,46.0
50,-1,3,0,0,0.0,0,0,,
51,0,1,5,5,0.9,1,0,0.0,50.0
52,0,2,5,10,0.7904862658184875,2,0,0.0,50.0
53,0,3,5,15,0.6942983738307293,3,0,0.0,50.0
54,0,4,5,20,0.609814809881446,4,0,0.0,50.0
55,0,5,0,20,0.5356113687822168,4,1,1.0,50.0
58,-1,3,0,0,0.0,0,0,,
59,1,1,0,0,0.4,0,1,1.0,58.0
62,-1,3,0,0,0.0,0,0,,
63,1,1,5,5,0.4,1,0,0.0,62.0
64,1,2,0,5,0.3513272292526611,1,1,1.0,62.0
67,-1,3,0,0,0.0,0,0,,
68,1,1,5,5,0.4,1,0,0.0,67.0
69,1,2,5,10,0.3513272292526611,2,0,0.0,67.0
70,1,3,0,10,0.30857705503587973,2,1,1.0,67.0
73,-1,3,0,0,0.0,0,0,,
74,0,1,0,0,0.9,0,1,1.0,73.0
77,-1,3,0,0,0.0,0,0,,
78,0,1,5,5,0.9,1,0,0.0,77.0
79,0,2,5,10,0.7904862658184875,2,0,0.0,77.0
80,0,3,5,15,0.6942983738307293,3,0,0.0,77.0
81,0,4,0,15,0.609814809881446,3,1,1.0,77.0
84,-1,3,0,0,0.0,0,0,,
85,1,1,5,5,0.4,1,0,0.0,84.0
86,1,2,0,5,0.3513272292526611,1,1,1.0,84.0
89,-1,3,0,0,0.0,0,0,,
90,1,1,0,0,0.4,0,1,1.0,89.0
93,-1,3,0,0,0.0,0,0,,
94,1,1,0,0,0.4,0,1,1.0,93.0
97,-1,3,0,0,0.0,0,0,,
98,0,1,5,5,0.9,1,0,0.0,97.0
99,0,2,0,5,0.7904862658184875,1,1,1.0,97.0
102,-1,3,0,0,0.0,0,0,,
