time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
6,-1,3,0,0,0.0,0,0,,
7,1,1,0,0,0.4,0,1,1.0,6.0
10,-1,3,0,0,0.0,0,0,,
11,0,1,5,5,0.9,1,0,0.0,10.0
12,0,2,0,5,0.7904862658184875,1,1,1.0,10.0
15,-1,3,0,0,0.0,0,0,,
16,1,1,0,0,0.4,0,1,1.0,15.0
19,-1,3,0,0,0.0,0,0,,
20,1,1,0,0,0.4,0,1,1.0,19.0
23,-1,3,0,0,0.0,0,0,,
24,0,1,0,0,0.9,0,1,1.0,23.0
27,-1,3,0,0,0.0,0,0,,
28,1,1,0,0,0.4,0,1,1.0,27.0
31,-1,3,0,0,0.0,0,0,,
32,1,1,0,0,0.4,0,1,1.0,31.0
35,-1,3,0,0,0.0,0,0,,
36,0,1,5,5,0.9,1,0,0.0,35.0
37,0,2,5,10,0.7904862658184875,2,0,0.0,35.0
38,0,3,0,10,0.6942983738307293,2,1,1.0,35.0
41,-1,3,0,0,0.0,0,0,,
42,1,1,5,5,0.4,1,0,0.0,41.0
43,1,2,0,5,0.3513272292526611,1,1,1.0,41.0
46,-1,3,0,0,0.0,0,0,,
47,0,1,5,5,0.9,1,0,0.0,46.0
48,0,2,5,10,0.7904862658184875,2,0,0.0,46.0
49,0,3,5,15,0.6942983738307293,3,0,0.0,46.0
50,0,4,0,15,0.609814809881446,3,1,1.0,46.0
53,-1,3,0,0,0.0,0,0,,
54,1,1,0,0,0.4,0,1,1.0,53.0
57,-1,3,0,0,0.0,0,0,,
58,1,1,5,5,0.4,1,0,0.0,57.0
59,1,2,0,5,0.3513272292526611,1,1,1.0,57.0
62,-1,3,0,0,0.0,0,0,,
63,1,1,5,5,0.4,1,0,0.0,62.0
64,1,2,5,10,0.3513272292526611,2,0,0.0,62.0
65,1,3,0,10,0.30857705503587973,2,1,1.0,62.0
68,-1,3,0,0,0.0,0,0,,
69,0,1,5,5,0.9,1,0,0.0,68.0
70,0,2,5,10,0.7904862658184875,2,0,0.0,68.0
71,0,3,5,15,0.6942983738307293,3,0,0.0,68.0
72,0,4,5,20,0.609814809881446,4,0,0.0,68.0
73,0,5,5,25,0.5356113687822168,5,0,0.0,68.0
74,0,6,0,25,0.4704371453762037,5,1,1.0,68.0
77,-1,3,0,0,0.0,0,0,,
78,0,1,5,5,0.9,1,0,0.0,77.0
79,0,2,5,10,0.7904862658184875,2,0,0.0,77.0
80,0,3,5,15,0.6942983738307293,3,0,0.0,77.0
81,0,4,0,15,0.609814809881446,3,1,1.0,77.0
84,-1,3,0,0,0.0,0,0,,
85,1,1,5,5,0.4,1,0,0.0,84.0
86,1,2,5,10,0.3513272292526611,2,0,0.0,84.0
87,1,3,0,10,0.30857705503587973,2,1,1.0,84.0
90,-1,3,0,0,0.0,0,0,,
91,1,1,0,0,0.4,0,1,1.0,90.0
94,-1,3,0,0,0.0,0,0,,
95,1,1,0,0,0.4,0,1,1.0,94.0
98,-1,3,0,0,0.0,0,0,,
99,0,1,5,5,0.9,1,0,0.0,98.0
100,0,2,0,5,0.7904862658184875,1,1,1.0,98.0
103,-1,3,0,0,0.0,0,0,,
