time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
6,-1,3,0,0,0.0,0,0,,
7,1,1,0,0,0.4,0,1,1.0,6.0
10,-1,3,0,0,0.0,0,0,,
11,0,1,5,5,0.9,1,0,0.0,10.0
12,0,2,0,5,0.7904862658184875,1,1,1.0,10.0
15,-1,3,0,0,0.0,0,0,,
16,1,1,0,0,0.4,0,1,1.0,15.0
19,-1,3,0,0,0.0,0,0,,
20,1,1,5,5,0.4,1,0,0.0,19.0
21,1,2,5,10,0.3513272292526611,2,0,0.0,19.0
22,1,3,0,10,0.30857705503587973,2,1,1.0,19.0
25,-1,3,0,0,0.0,0,0,,
26,0,1,5,5,0.9,1,0,0.0,25.0
27,0,2,5,10,0.7904862658184875,2,0,0.0,25.0
28,0,3,5,15,0.6942983738307293,3,0,0.0,25.0
29,0,4,0,15,0.609814809881446,3,1,1.0,25.0
32,-1,3,0,0,0.0,0,0,,
33,1,1,5,5,0.4,1,0,0.0,32.0
34,1,2,5,10,0.3513272292526611,2,0,0.0,32.0
35,1,3,0,10,0.30857705503587973,2,1,1.0,32.0
38,-1,3,0,0,0.0,0,0,,
39,1,1,5,5,0.4,1,0,0.0,38.0
40,1,2,5,10,0.3513272292526611,2,0,0.0,38.0
41,1,3,0,10,0.30857705503587973,2,1,1.0,38.0
44,-1,3,0,0,0.0,0,0,,
45,0,1,5,5,0.9,1,0,0.0,44.0
46,0,2,5,10,0.7904862658184875,2,0,0.0,44.0
47,0,3,5,15,0.6942983738307293,3,0,0.0,44.0
48,0,4,0,15,0.609814809881446,3,1,1.0,44.0
51,-1,3,0,0,0.0,0,0,,
52,1,1,0,0,0.4,0,1,1.0,51.0
55,-1,3,0,0,0.0,0,0,,
56,0,1,5,5,0.9,1,0,0.0,55.0
57,0,2,5,10,0.7904862658184875,2,0,0.0,55.0
58,0,3,0,10,0.6942983738307293,2,1,1.0,55.0
61,-1,3,0,0,0.0,0,0,,
62,1,1,0,0,0.4,0,1,1.0,61.0
65,-1,3,0,0,0.0,0,0,,
66,1,1,0,0,0.4,0,1,1.0,65.0
69,-1,3,0,0,0.0,0,0,,
70,1,1,5,5,0.4,1,0,0.0,69.0
71,1,2,5,10,0.3513272292526611,2,0,0.0,69.0
72,1,3,0,10,0.30857705503587973,2,1,1.0,69.0
75,-1,3,0,0,0.0,0,0,,
76,0,1,5,5,0.9,1,0,0.0,75.0
77,0,2,0,5,0.7904862658184875,1,1,1.0,75.0
80,-1,3,0,0,0.0,0,0,,
81,0,1,0,0,0.9,0,1,1.0,80.0
84,-1,3,0,0,0.0,0,0,,
85,1,1,5,5,0.4,1,0,0.0,84.0
86,1,2,0,5,0.3513272292526611,1,1,1.0,84.0
89,-1,3,0,0,0.0,0,0,,
90,1,1,5,5,0.4,1,0,0.0,89.0
91,1,2,5,10,0.3513272292526611,2,0,0.0,89.0
92,1,3,0,10,0.30857705503587973,2,1,1.0,89.0
95,-1,3,0,0,0.0,0,0,,
96,1,1,5,5,0.4,1,0,0.0,95.0
97,1,2,0,5,0.3513272292526611,1,1,1.0,95.0
100,-1,3,0,0,0.0,0,0,,
101,0,1,0,0,0.9,0,1,1.0,100.0
104,-1,3,0,0,0.0,0,0,,
