time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,0,5,0.7904862658184875,1,1,1.0,0.0
5,-1,3,0,0,0.0,0,0,,
6,1,1,5,5,0.4,1,0,0.0,5.0
7,1,2,0,5,0.3513272292526611,1,1,1.0,5.0
10,-1,3,0,0,0.0,0,0,,
11,0,1,5,5,0.9,1,0,0.0,10.0
12,0,2,5,10,0.7904862658184875,2,0,0.0,10.0
13,0,3,5,15,0.6942983738307293,3,0,0.0,10.0
14,0,4,5,20,0.609814809881446,4,0,0.0,10.0
15,0,5,0,20,0.5356113687822168,4,1,1.0,10.0
18,-1,3,0,0,0.0,0,0,,
19,1,1,5,5,0.4,1,0,0.0,18.0
20,1,2,5,10,0.3513272292526611,2,0,0.0,18.0
21,1,3,0,10,0.30857705503587973,2,1,1.0,18.0
24,-1,3,0,0,0.0,0,0,,
25,1,1,5,5,0.4,1,0,0.0,24.0
26,1,2,5,10,0.3513272292526611,2,0,0.0,24.0
27,1,3,0,10,0.30857705503587973,2,1,1.0,24.0
30,-1,3,0,0,0.0,0,0,,
31,0,1,0,0,0.9,0,1,1.0,30.0
34,-1,3,0,0,0.0,0,0,,
35,1,1,5,5,0.4,1,0,0.0,34.0
36,1,2,0,5,0.3513272292526611,1,1,1.0,34.0
39,-1,3,0,0,0.0,0,0,,
40,1,1,0,0,0.4,0,1,1.0,39.0
43,-1,3,0,0,0.0,0,0,,
44,0,1,5,5,0.9,1,0,0.0,43.0
45,0,2,5,10,0.7904862658184875,2,0,0.0,43.0
46,0,3,5,15,0.6942983738307293,3,0,0.0,43.0
47,0,4,5,20,0.609814809881446,4,0,0.0,43.0
48,0,5,5,25,0.5356113687822168,5,0,0.0,43.0
49,0,6,0,25,0.4704371453762037,5,1,1.0,43.0
52,-1,3,0,0,0.0,0,0,,
53,1,1,0,0,0.4,0,1,1.0,52.0
56,-1,3,0,0,0.0,0,0,,
57,0,1,5,5,0.9,1,0,0.0,56.0
58,0,2,5,10,0.7904862658184875,2,0,0.0,56.0
59,0,3,0,10,0.6942983738307293,2,1,1.0,56.0
62,-1,3,0,0,0.0,0,0,,
63,1,1,5,5,0.4,1,0,0.0,62.0
64,1,2,0,5,0.3513272292526611,1,1,1.0,62.0
67,-1,3,0,0,0.0,0,0,,
68,1,1,0,0,0.4,0,1,1.0,67.0
71,-1,3,0,0,0.0,0,0,,
72,1,1,0,0,0.4,0,1,1.0,71.0
75,-1,3,0,0,0.0,0,0,,
76,0,1,5,5,0.9,1,0,0.0,75.0
77,0,2,5,10,0.7904862658184875,2,0,0.0,75.0
78,0,3,5,15,0.6942983738307293,3,0,0.0,75.0
79,0,4,5,20,0.609814809881446,4,0,0.0,75.0
80,0,5,0,20,0.5356113687822168,4,1,1.0,75.0
83,-1,3,0,0,0.0,0,0,,
84,0,1,5,5,0.9,1,0,0.0,83.0
85,0,2,5,10,0.7904862658184875,2,0,0.0,83.0
86,0,3,5,15,0.6942983738307293,3,0,0.0,83.0
87,0,4,0,15,0.609814809881446,3,1,1.0,83.0
90,-1,3,0,0,0.0,0,0,,
91,1,1,5,5,0.4,1,0,0.0,90.0
92,1,2,0,5,0.3513272292526611,1,1,1.0,90.0
95,-1,3,0,0,0.0,0,0,,
96,1,1,5,5,0.4,1,0,0.0,95.0
97,1,2,0,5,0.3513272292526611,1,1,1.0,95.0
100,-1,3,0,0,0.0,0,0,,
101,1,1,5,5,0.4,1,0,0.0,100.0
102,1,2,0,5,0.3513272292526611,1,1,1.0,100.0
105,-1,3,0,0,0.0,0,0,,
106,0,1,5,5,0.9,1,0,0.0,105.0
107,0,2,5,10,0.7904862658184875,2,0,0.0,105.0
108,0,3,5,15,0.6942983738307293,3,0,0.0,105.0
109,0,4,0,15,0.609814809881446,3,1,1.0,105.0
112,-1,3,0,0,0.0,0,0,,
