time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,0,5,0.7904862658184875,1,1,1.0,0.0
3,0,3,0,5,0.6942983738307293,1,2,2.0,0.0
6,-1,3,0,0,0.0,0,0,,
7,1,1,0,0,0.4,0,1,1.0,6.0
8,1,2,0,0,0.3513272292526611,0,2,2.0,6.0
11,-1,3,0,0,0.0,0,0,,
12,0,1,5,5,0.9,1,0,0.0,11.0
13,0,2,0,5,0.7904862658184875,1,1,1.0,11.0
14,0,3,5,10,0.6942983738307293,2,1,0.0,11.0
15,0,4,5,15,0.609814809881446,3,1,0.0,11.0
16,0,5,0,15,0.5356113687822168,3,2,1.0,11.0
17,0,6,0,15,0.4704371453762037,3,3,2.0,11.0
20,-1,3,0,0,0.0,0,0,,
21,1,1,5,5,0.4,1,0,0.0,20.0
22,1,2,0,5,0.3513272292526611,1,1,1.0,20.0
23,1,3,0,5,0.30857705503587973,1,2,2.0,20.0
26,-1,3,0,0,0.0,0,0,,
27,1,1,5,5,0.4,1,0,0.0,26.0
28,1,2,5,10,0.3513272292526611,2,0,0.0,26.0
29,1,3,0,10,0.30857705503587973,2,1,1.0,26.0
30,1,4,0,10,0.2710288043917538,2,2,2.0,26.0
33,-1,3,0,0,0.0,0,0,,
34,0,1,5,5,0.9,1,0,0.0,33.0
35,0,2,5,10,0.7904862658184875,2,0,0.0,33.0
36,0,3,0,10,0.6942983738307293,2,1,1.0,33.0
37,0,4,5,15,0.609814809881446,3,1,0.0,33.0
38,0,5,5,20,0.5356113687822168,4,1,0.0,33.0
39,0,6,5,25,0.4704371453762037,5,1,0.0,33.0
40,0,7,0,25,0.4131934470563824,5,2,1.0,33.0
41,0,8,5,30,0.36291527224918735,6,2,0.0,33.0
42,0,9,0,30,0.3187550426319553,6,3,1.0,33.0
43,0,10,0,30,0.27996831484549684,6,4,2.0,33.0
46,-1,3,0,0,0.0,0,0,,
47,1,1,0,0,0.4,0,1,1.0,46.0
48,1,2,0,0,0.3513272292526611,0,2,2.0,46.0
51,-1,3,0,0,0.0,0,0,,
52,1,1,5,5,0.4,1,0,0.0,51.0
53,1,2,5,10,0.3513272292526611,2,0,0.0,51.0
54,1,3,0,10,0.30857705503587973,2,1,1.0,51.0
55,1,4,0,10,0.2710288043917538,2,2,2.0,51.0
58,-1,3,0,0,0.0,0,0,,
59,0,1,5,5,0.9,1,0,0.0,58.0
60,0,2,0,5,0.7904862658184875,1,1,1.0,58.0
61,0,3,5,10,0.6942983738307293,2,1,0.0,58.0
62,0,4,0,10,0.609814809881446,2,2,1.0,58.0
63,0,5,0,10,0.5356113687822168,2,3,2.0,58.0
66,-1,3,0,0,0.0,0,0,,
67,1,1,0,0,0.4,0,1,1.0,66.0
68,1,2,5,5,0.3513272292526611,1,1,0.0,66.0
69,1,3,0,5,0.30857705503587973,1,2,1.0,66.0
70,1,4,5,10,0.2710288043917538,2,2,0.0,66.0
71,1,5,0,10,0.23804949723654079,2,3,1.0,66.0
72,1,6,5,15,0.2090831757227572,3,3,0.0,66.0
73,1,7,0,15,0.18364153202505884,3,4,1.0,66.0
74,1,8,0,15,0.1612956765551944,3,5,2.0,66.0
77,-1,3,0,0,0.0,0,0,,
78,0,1,5,5,0.9,1,0,0.0,77.0
79,0,2,5,10,0.7904862658184875,2,0,0.0,77.0
80,0,3,5,15,0.6942983738307293,3,0,0.0,77.0
81,0,4,0,15,0.609814809881446,3,1,1.0,77.0
82,0,5,5,20,0.5356113687822168,4,1,0.0,77.0
