time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
4,0,4,0,10,0.609814809881446,2,2,2.0,0.0
5,0,5,0,10,0.5356113687822168,2,3,3.0,0.0
6,0,6,0,10,0.4704371453762037,2,4,4.0,0.0
9,-1,3,0,0,0.0,0,0,,
10,1,1,5,5,0.4,1,0,0.0,9.0
11,1,2,0,5,0.3513272292526611,1,1,1.0,9.0
12,1,3,0,5,0.30857705503587973,1,2,2.0,9.0
15,-1,3,0,0,0.0,0,0,,
16,0,1,0,0,0.9,0,1,1.0,15.0
19,-1,3,0,0,0.0,0,0,,
20,1,1,5,5,0.4,1,0,0.0,19.0
21,1,2,0,5,0.3513272292526611,1,1,1.0,19.0
22,1,3,0,5,0.30857705503587973,1,2,2.0,19.0
25,-1,3,0,0,0.0,0,0,,
26,1,1,5,5,0.4,1,0,0.0,25.0
27,1,2,0,5,0.3513272292526611,1,1,1.0,25.0
28,1,3,0,5,0.30857705503587973,1,2,2.0,25.0
31,-1,3,0,0,0.0,0,0,,
32,0,1,5,5,0.9,1,0,0.0,31.0
33,0,2,5,10,0.7904862658184875,2,0,0.0,31.0
34,0,3,5,15,0.6942983738307293,3,0,0.0,31.0
35,0,4,5,20,0.609814809881446,4,0,0.0,31.0
36,0,5,5,25,0.5356113687822168,5,0,0.0,31.0
37,0,6,0,25,0.4704371453762037,5,1,1.0,31.0
38,0,7,0,25,0.4131934470563824,5,2,2.0,31.0
39,0,8,0,25,0.36291527224918735,5,3,3.0,31.0
40,0,9,0,25,0.3187550426319553,5,4,4.0,31.0
41,0,10,0,25,0.27996831484549684,5,5,5.0,31.0
42,0,11,0,25,0.2459012308330126,5,6,6.0,31.0
43,0,12,0,25,0.21597949524595342,5,7,7.0,31.0
44,0,13,0,25,0.18969869410037274,5,8,8.0,31.0
45,0,14,0,25,0.16661579147783018,5,9,9.0,31.0
46,0,15,0,25,0.14634166092411305,5,10,10.0,31.0
49,-1,3,0,0,0.0,0,0,,
50,1,1,0,0,0.4,0,1,1.0,49.0
53,-1,3,0,0,0.0,0,0,,
54,1,1,0,0,0.4,0,1,1.0,53.0
57,-1,3,0,0,0.0,0,0,,
58,0,1,5,5,0.9,1,0,0.0,57.0
59,0,2,5,10,0.7904862658184875,2,0,0.0,57.0
60,0,3,5,15,0.6942983738307293,3,0,0.0,57.0
61,0,4,0,15,0.609814809881446,3,1,1.0,57.0
62,0,5,5,20,0.5356113687822168,4,1,0.0,57.0
