time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
4,0,4,0,10,0.609814809881446,2,2,2.0,0.0
7,-1,3,0,0,0.0,0,0,,
8,1,1,5,5,0.4,1,0,0.0,7.0
9,1,2,5,10,0.3513272292526611,2,0,0.0,7.0
10,1,3,5,15,0.30857705503587973,3,0,0.0,7.0
11,1,4,0,15,0.2710288043917538,3,1,1.0,7.0
12,1,5,0,15,0.23804949723654079,3,2,2.0,7.0
15,-1,3,0,0,0.0,0,0,,
16,0,1,5,5,0.9,1,0,0.0,15.0
17,0,2,0,5,0.7904862658184875,1,1,1.0,15.0
18,0,3,5,10,0.6942983738307293,2,1,0.0,15.0
19,0,4,0,10,0.609814809881446,2,2,1.0,15.0
20,0,5,0,10,0.5356113687822168,2,3,2.0,15.0
23,-1,3,0,0,0.0,0,0,,
24,1,1,5,5,0.4,1,0,0.0,23.0
25,1,2,0,5,0.3513272292526611,1,1,1.0,23.0
26,1,3,5,10,0.30857705503587973,2,1,0.0,23.0
27,1,4,0,10,0.2710288043917538,2,2,1.0,23.0
28,1,5,0,10,0.23804949723654079,2,3,2.0,23.0
31,-1,3,0,0,0.0,0,0,,
32,1,1,5,5,0.4,1,0,0.0,31.0
33,1,2,0,5,0.3513272292526611,1,1,1.0,31.0
34,1,3,5,10,0.30857705503587973,2,1,0.0,31.0
35,1,4,0,10,0.2710288043917538,2,2,1.0,31.0
36,1,5,0,10,0.23804949723654079,2,3,2.0,31.0
39,-1,3,0,0,0.0,0,0,,
40,0,1,5,5,0.9,1,0,0.0,39.0
41,0,2,5,10,0.7904862658184875,2,0,0.0,39.0
42,0,3,0,10,0.6942983738307293,2,1,1.0,39.0
43,0,4,0,10,0.609814809881446,2,2,2.0,39.0
46,-1,3,0,0,0.0,0,0,,
47,1,1,0,0,0.4,0,1,1.0,46.0
48,1,2,5,5,0.3513272292526611,1,1,0.0,46.0
49,1,3,5,10,0.30857705503587973,2,1,0.0,46.0
50,1,4,0,10,0.2710288043917538,2,2,1.0,46.0
51,1,5,0,10,0.23804949723654079,2,3,2.0,46.0
54,-1,3,0,0,0.0,0,0,,
55,1,1,0,0,0.4,0,1,1.0,54.0
56,1,2,0,0,0.3513272292526611,0,2,2.0,54.0
59,-1,3,0,0,0.0,0,0,,
60,0,1,5,5,0.9,1,0,0.0,59.0
61,0,2,0,5,0.7904862658184875,1,1,1.0,59.0
62,0,3,5,10,0.6942983738307293,2,1,0.0,59.0
